From	To
P08729	ENSG00000135480.18
P08754	ENSG00000065135.13
P08758	ENSG00000164111.16
P08779	ENSG00000186832.9
P08865	ENSG00000168028.16
P08910	ENSG00000140526.19
P08F94	ENSG00000170927.15
P09001	ENSG00000114686.10
P09017	ENSG00000198353.8
P09211	ENSG00000084207.19
P09234	ENSG00000124562.11
P09237	ENSG00000137673.10
P09382	ENSG00000100097.13
P09488	ENSG00000134184.14
P09496	ENSG00000122705.19
P09525	ENSG00000196975.17
P09543	ENSG00000173786.17
P09601	ENSG00000100292.18
P09651	ENSG00000135486.20
P09668	ENSG00000103811.19
P09669	ENSG00000164919.12
P09874	ENSG00000143799.15
P09884	ENSG00000101868.14
P09912	ENSG00000126709.16
P09913	ENSG00000119922.11
P09914	ENSG00000185745.10
P09917	ENSG00000012779.13
P09917	ENSG00000275565.4
P09958	ENSG00000140564.14
P09960	ENSG00000111144.11
P0C0L4	ENSG00000206340.10
P0C0L4	ENSG00000227746.10
P0C0L4	ENSG00000244731.11
P0C870	ENSG00000243789.12
P0CG12	ENSG00000286140.2
P0CG47	ENSG00000170315.15
P0CJ78	ENSG00000261221.6
P0DJD1	ENSG00000185304.17
P0DMV8	ENSG00000204388.7
P0DMV8	ENSG00000204389.11
P0DMV8	ENSG00000224501.5
P0DMV8	ENSG00000212866.6
P0DMV8	ENSG00000215328.6
P0DMV8	ENSG00000235941.5
P0DMV8	ENSG00000234475.5
P0DMV8	ENSG00000237724.5
P0DMV8	ENSG00000231555.4
P0DMV8	ENSG00000232804.5
P0DP23	ENSG00000143933.21
P0DP23	ENSG00000160014.18
P0DP23	ENSG00000198668.15
P0DPH7	ENSG00000075886.11
P0DPH7	ENSG00000198033.13
P0DPK2	ENSG00000269466.4
P10176	ENSG00000176340.4
P10242	ENSG00000118513.22
P10253	ENSG00000171298.16
P10253	ENSG00000291507.1
P10321	ENSG00000204525.19
P10398	ENSG00000078061.15
P10589	ENSG00000175745.15
P10620	ENSG00000008394.14
P10644	ENSG00000108946.17
P10746	ENSG00000188690.17
P10809	ENSG00000144381.19
P11021	ENSG00000044574.10
P11047	ENSG00000135862.7
P11049	ENSG00000104894.13
P11142	ENSG00000109971.15
P11166	ENSG00000117394.25
P11171	ENSG00000159023.24
P11216	ENSG00000100994.13
P11230	ENSG00000170175.11
P11230	ENSG00000283946.2
P11274	ENSG00000186716.22
P11279	ENSG00000185896.12
P11308	ENSG00000157554.21
P11309	ENSG00000137193.15
P11310	ENSG00000117054.16
P11387	ENSG00000198900.7
P11388	ENSG00000131747.16
P11413	ENSG00000160211.21
P11498	ENSG00000173599.16
P11511	ENSG00000137869.17
P11532	ENSG00000198947.18
P11586	ENSG00000100714.19
P11717	ENSG00000197081.16
P11766	ENSG00000197894.13
P11802	ENSG00000135446.18
P11831	ENSG00000112658.9
P11836	ENSG00000156738.19
P11926	ENSG00000115758.15
P11940	ENSG00000070756.18
P12004	ENSG00000132646.12
P12036	ENSG00000100285.10
P12074	ENSG00000111775.4
P12081	ENSG00000170445.17
P12109	ENSG00000142156.17
P12110	ENSG00000142173.18
P12111	ENSG00000163359.18
P12235	ENSG00000151729.12
P12236	ENSG00000169100.15
P12236	ENSG00000292334.2
P12270	ENSG00000047410.14
P12814	ENSG00000072110.18
P12956	ENSG00000196419.14
P13010	ENSG00000079246.17
P13051	ENSG00000076248.13
P13056	ENSG00000120798.18
P13073	ENSG00000131143.11
P13196	ENSG00000023330.16
P13284	ENSG00000216490.5
P13489	ENSG00000023191.18
P13489	ENSG00000276230.4
P13498	ENSG00000051523.13
P13598	ENSG00000108622.12
P13611	ENSG00000038427.16
P13612	ENSG00000115232.14
P13639	ENSG00000167658.17
P13645	ENSG00000186395.9
P13647	ENSG00000186081.12
P13667	ENSG00000155660.12
P13674	ENSG00000122884.14
P13747	ENSG00000204592.10
P13747	ENSG00000206493.7
P13747	ENSG00000229252.6
P13747	ENSG00000233904.6
P13747	ENSG00000236632.5
P13747	ENSG00000230254.7
P13747	ENSG00000225201.6
P13796	ENSG00000136167.16
P13797	ENSG00000102024.20
P13798	ENSG00000164062.14
P13804	ENSG00000140374.18
P13807	ENSG00000104812.16
P13995	ENSG00000065911.13
P14314	ENSG00000130175.11
P14317	ENSG00000180353.12
P14324	ENSG00000160752.16
P14373	ENSG00000204713.12
P14373	ENSG00000215641.8
P14373	ENSG00000234495.7
P14373	ENSG00000237071.7
P14373	ENSG00000229006.7
P14543	ENSG00000116962.16
P14550	ENSG00000117448.15
P14618	ENSG00000067225.22
P14625	ENSG00000166598.17
P14635	ENSG00000134057.16
P14678	ENSG00000125835.21
P14735	ENSG00000119912.19
P14866	ENSG00000104824.19
P14866	ENSG00000282947.2
P14868	ENSG00000115866.12
P14921	ENSG00000134954.15
P14923	ENSG00000173801.18
P15104	ENSG00000135821.20
P15170	ENSG00000103342.14
P15289	ENSG00000100299.19
P15311	ENSG00000092820.20
P15328	ENSG00000110195.15
P15374	ENSG00000118939.20
P15498	ENSG00000141968.9
P15559	ENSG00000181019.13
P15621	ENSG00000197857.17
P15822	ENSG00000095951.19
P15880	ENSG00000140988.17
P15880	ENSG00000291931.1
P15884	ENSG00000196628.21
P15923	ENSG00000071564.20
P15924	ENSG00000096696.17
P15927	ENSG00000117748.11
P15954	ENSG00000127184.14
P16104	ENSG00000188486.4
P16278	ENSG00000170266.16
P16333	ENSG00000158092.8
P16435	ENSG00000127948.18
P16591	ENSG00000151422.15
P16615	ENSG00000174437.19
P16885	ENSG00000197943.14
P16930	ENSG00000103876.15
P16949	ENSG00000117632.24
P17019	ENSG00000182141.11
P17026	ENSG00000165512.6
P17036	ENSG00000166526.20
P17038	ENSG00000198521.13
P17050	ENSG00000198951.13
P17066	ENSG00000173110.8
P17181	ENSG00000142166.16
P17275	ENSG00000171223.6
P17480	ENSG00000108312.17
P17612	ENSG00000072062.17
P17612	ENSG00000288516.1
P17655	ENSG00000162909.19
P17813	ENSG00000106991.16
P17844	ENSG00000108654.17
P17858	ENSG00000141959.18
P17927	ENSG00000203710.13
P17980	ENSG00000165916.10
P17987	ENSG00000120438.13
P18031	ENSG00000196396.11
P18074	ENSG00000104884.18
P18077	ENSG00000182899.18
P18124	ENSG00000147604.15
P18206	ENSG00000035403.19
P18583	ENSG00000159140.23
P18621	ENSG00000215472.10
P18621	ENSG00000265681.9
P18754	ENSG00000180198.18
P18848	ENSG00000128272.20
P18850	ENSG00000118217.8
P18858	ENSG00000105486.16
P18887	ENSG00000073050.13
P19021	ENSG00000145730.22
P19086	ENSG00000128266.10
P19105	ENSG00000101608.14
P19174	ENSG00000124181.16
P19338	ENSG00000115053.18
P19367	ENSG00000156515.26
P19440	ENSG00000100031.20
P19525	ENSG00000055332.20
P19532	ENSG00000068323.18
P19532	ENSG00000292217.1
P19544	ENSG00000184937.17
P19634	ENSG00000090020.12
P19784	ENSG00000070770.11
P19793	ENSG00000186350.12
P19823	ENSG00000151655.20
P19878	ENSG00000116701.17
P19971	ENSG00000025708.15
P20023	ENSG00000117322.20
P20036	ENSG00000168384.11
P20036	ENSG00000206291.10
P20036	ENSG00000224103.7
P20036	ENSG00000231389.9
P20036	ENSG00000228163.8
P20036	ENSG00000235844.8
P20036	ENSG00000229685.8
P20036	ENSG00000236177.9
P20073	ENSG00000138279.17
P20226	ENSG00000112592.16
P20248	ENSG00000145386.12
P20273	ENSG00000012124.18
P20290	ENSG00000145741.17
P20333	ENSG00000028137.20
P20393	ENSG00000126368.6
P20591	ENSG00000157601.16
P20592	ENSG00000183486.15
P20618	ENSG00000008018.10
P20645	ENSG00000003056.9
P20674	ENSG00000178741.13
P20700	ENSG00000113368.13
P20701	ENSG00000005844.20
P20702	ENSG00000140678.18
P20749	ENSG00000069399.15
P20810	ENSG00000310517.2
P20839	ENSG00000106348.20
P20929	ENSG00000183091.21
P20936	ENSG00000145715.16
P21281	ENSG00000147416.13
P21283	ENSG00000155097.13
P21333	ENSG00000196924.20
P21359	ENSG00000196712.20
P21399	ENSG00000122729.20
P21675	ENSG00000147133.19
P21796	ENSG00000213585.12
P22059	ENSG00000110048.13
P22061	ENSG00000120265.22
P22087	ENSG00000105202.10
P22087	ENSG00000280548.4
P22090	ENSG00000129824.16
P22102	ENSG00000159131.18
P22102	ENSG00000262473.5
P22234	ENSG00000128050.10
P22314	ENSG00000130985.18
P22392	ENSG00000243678.13
P22392	ENSG00000011052.21
P22570	ENSG00000161513.13
P22626	ENSG00000122566.24
P22670	ENSG00000132005.10
P22670	ENSG00000288283.1
P22681	ENSG00000110395.8
P22695	ENSG00000140740.12
P22736	ENSG00000123358.21
P23193	ENSG00000187735.17
P23246	ENSG00000116560.12
P23258	ENSG00000131462.10
P23381	ENSG00000140105.19
P23396	ENSG00000149273.16
P23458	ENSG00000162434.15
P23470	ENSG00000144724.20
P23508	ENSG00000171444.19
P23526	ENSG00000101444.13
P23528	ENSG00000172757.13
P23610	ENSG00000288709.1
P23610	ENSG00000288722.1
P23610	ENSG00000277150.2
P23634	ENSG00000058668.17
P23763	ENSG00000139190.17
P23921	ENSG00000167325.16
P24001	ENSG00000008517.20
P24278	ENSG00000089775.13
P24390	ENSG00000105438.10
P24394	ENSG00000077238.15
P24522	ENSG00000116717.13
P24539	ENSG00000116459.12
P24821	ENSG00000041982.18
P24863	ENSG00000112237.14
P24864	ENSG00000105173.15
P24928	ENSG00000284832.2
P24941	ENSG00000123374.11
P25054	ENSG00000134982.20
P25098	ENSG00000173020.12
P25205	ENSG00000112118.21
P25391	ENSG00000101680.17
P25398	ENSG00000112306.9
P25440	ENSG00000204256.16
P25440	ENSG00000234507.9
P25440	ENSG00000215077.10
P25440	ENSG00000234704.9
P25440	ENSG00000235307.12
P25445	ENSG00000026103.25
P25685	ENSG00000132002.10
P25705	ENSG00000152234.17
P25787	ENSG00000106588.13
P25787	ENSG00000256646.8
P25788	ENSG00000100567.14
P25789	ENSG00000041357.17
P26006	ENSG00000005884.19
P26010	ENSG00000139626.17
P26012	ENSG00000105855.11
P26038	ENSG00000147065.19
P26196	ENSG00000110367.15
P26232	ENSG00000066032.19
P26358	ENSG00000130816.18
P26368	ENSG00000063244.15
P26373	ENSG00000167526.16
P26599	ENSG00000011304.23
P26639	ENSG00000113407.15
P26640	ENSG00000096171.14
P26640	ENSG00000204394.14
P26640	ENSG00000224264.9
P26640	ENSG00000231116.9
P26640	ENSG00000226589.9
P26641	ENSG00000254772.11
P27105	ENSG00000148175.14
P27144	ENSG00000162433.16
P27348	ENSG00000134308.15
P27448	ENSG00000075413.20
P27469	ENSG00000123689.7
P27540	ENSG00000143437.22
P27635	ENSG00000147403.19
P27694	ENSG00000132383.13
P27695	ENSG00000100823.13
P27695	ENSG00000291796.1
P27707	ENSG00000156136.11
P27708	ENSG00000084774.15
P27797	ENSG00000179218.16
P27816	ENSG00000047849.23
P27824	ENSG00000127022.17
P27824	ENSG00000283777.2
P27986	ENSG00000145675.17
P28062	ENSG00000204264.13
P28062	ENSG00000206298.8
P28062	ENSG00000235715.6
P28062	ENSG00000226201.6
P28062	ENSG00000236443.6
P28062	ENSG00000231631.6
P28062	ENSG00000230669.6
P28062	ENSG00000230034.8
P28065	ENSG00000240065.10
P28065	ENSG00000240118.7
P28065	ENSG00000243594.7
P28065	ENSG00000243067.7
P28065	ENSG00000242711.8
P28065	ENSG00000243958.7
P28065	ENSG00000239836.7
P28065	ENSG00000240508.7
P28066	ENSG00000143106.14
P28067	ENSG00000204257.16
P28067	ENSG00000243215.7
P28067	ENSG00000242361.7
P28067	ENSG00000239463.7
P28067	ENSG00000242685.7
P28067	ENSG00000243189.7
P28067	ENSG00000243719.7
P28070	ENSG00000159377.12
P28072	ENSG00000142507.11
P28074	ENSG00000100804.20
P28288	ENSG00000117528.15
P28289	ENSG00000136842.15
P28290	ENSG00000138434.17
P28331	ENSG00000023228.16
P28331	ENSG00000283447.3
P28340	ENSG00000062822.17
P28360	ENSG00000163132.8
P28370	ENSG00000102038.17
P28482	ENSG00000100030.16
P28562	ENSG00000120129.7
P28715	ENSG00000134899.25
P28749	ENSG00000080839.13
P28838	ENSG00000002549.14
P29083	ENSG00000153767.11
P29350	ENSG00000111679.18
P29353	ENSG00000160691.20
P29374	ENSG00000032219.20
P29375	ENSG00000073614.13
P29401	ENSG00000163931.18
P29466	ENSG00000137752.26
P29590	ENSG00000140464.21
P29597	ENSG00000105397.17
P29692	ENSG00000104529.20
P29692	ENSG00000273594.4
P29728	ENSG00000111335.14
P30040	ENSG00000089248.8
P30044	ENSG00000126432.15
P30049	ENSG00000099624.9
P30050	ENSG00000197958.14
P30101	ENSG00000167004.15
P30153	ENSG00000105568.20
P30154	ENSG00000137713.17
P30260	ENSG00000004897.13
P30279	ENSG00000118971.10
P30304	ENSG00000164045.13
P30305	ENSG00000101224.19
P30511	ENSG00000204642.15
P30511	ENSG00000206509.13
P30511	ENSG00000229698.11
P30511	ENSG00000137403.19
P30511	ENSG00000235220.10
P30511	ENSG00000237508.10
P30520	ENSG00000035687.10
P30530	ENSG00000167601.13
P30533	ENSG00000163956.14
P30559	ENSG00000180914.12
P30566	ENSG00000239900.15
P30622	ENSG00000130779.23
P30679	ENSG00000060558.4
P30793	ENSG00000131979.21
P30825	ENSG00000139514.14
P30837	ENSG00000137124.9
P30876	ENSG00000047315.17
P31040	ENSG00000073578.19
P31150	ENSG00000203879.13
P31321	ENSG00000188191.17
P31323	ENSG00000005249.15
P31327	ENSG00000021826.19
P31350	ENSG00000171848.17
P31483	ENSG00000116001.18
P31629	ENSG00000010818.12
P31689	ENSG00000086061.17
P31785	ENSG00000147168.14
P31939	ENSG00000138363.16
P31941	ENSG00000128383.14
P31941	ENSG00000262156.6
P31943	ENSG00000169045.20
P31943	ENSG00000284254.4
P31948	ENSG00000168439.18
P31949	ENSG00000163191.7
P32019	ENSG00000204084.15
P32189	ENSG00000198814.15
P32248	ENSG00000126353.5
P32249	ENSG00000169508.8
P32322	ENSG00000183010.18
P32455	ENSG00000117228.12
P32456	ENSG00000162645.14
P32519	ENSG00000120690.18
P32969	ENSG00000163682.18
P32970	ENSG00000125726.12
P33076	ENSG00000179583.22
P33121	ENSG00000151726.17
P33176	ENSG00000170759.12
P33240	ENSG00000101811.16
P33527	ENSG00000103222.21
P33527	ENSG00000278183.4
P33552	ENSG00000123975.6
P33897	ENSG00000101986.13
P33908	ENSG00000111885.8
P33947	ENSG00000136240.11
P33981	ENSG00000112742.11
P33991	ENSG00000104738.20
P33992	ENSG00000100297.17
P33993	ENSG00000166508.20
P34897	ENSG00000182199.12
P34931	ENSG00000204390.11
P34931	ENSG00000206383.8
P34931	ENSG00000234258.6
P34931	ENSG00000236251.6
P34932	ENSG00000170606.17
P34949	ENSG00000178802.19
P35125	ENSG00000129204.17
P35221	ENSG00000044115.22
P35222	ENSG00000168036.20
P35226	ENSG00000168283.15
P35232	ENSG00000167085.15
P35240	ENSG00000186575.21
P35241	ENSG00000137710.18
P35249	ENSG00000163918.13
P35250	ENSG00000049541.12
P35251	ENSG00000035928.18
P35268	ENSG00000116251.12
P35269	ENSG00000125651.15
P35520	ENSG00000160200.19
P35555	ENSG00000166147.16
P35573	ENSG00000162688.18
P35579	ENSG00000100345.24
P35580	ENSG00000133026.15
P35606	ENSG00000184432.12
P35609	ENSG00000077522.16
P35610	ENSG00000057252.14
P35611	ENSG00000087274.20
P35613	ENSG00000172270.23
P35637	ENSG00000089280.21
P35658	ENSG00000126883.20
P35790	ENSG00000110721.13
P35869	ENSG00000106546.15
P35914	ENSG00000117305.16
P35998	ENSG00000161057.14
P36406	ENSG00000113595.15
P36507	ENSG00000126934.16
P36578	ENSG00000174444.16
P36776	ENSG00000196365.13
P36871	ENSG00000079739.18
P36873	ENSG00000186298.12
P36888	ENSG00000122025.16
P36955	ENSG00000132386.12
P36956	ENSG00000072310.19
P37023	ENSG00000139567.15
P37088	ENSG00000111319.14
P37108	ENSG00000140319.12
P37198	ENSG00000213024.14
P37268	ENSG00000079459.15
P37268	ENSG00000284967.3
P37287	ENSG00000165195.16
P38432	ENSG00000121058.6
P38435	ENSG00000115486.14
P38606	ENSG00000114573.13
P38646	ENSG00000113013.17
P38919	ENSG00000141543.13
P38919	ENSG00000291508.1
P38935	ENSG00000132740.11
P38936	ENSG00000124762.16
P39019	ENSG00000105372.9
P39023	ENSG00000100316.17
P39060	ENSG00000182871.17
P39210	ENSG00000115204.16
P39656	ENSG00000244038.11
P39687	ENSG00000140350.16
P39748	ENSG00000168496.5
P39880	ENSG00000257923.13
P40123	ENSG00000112186.14
P40126	ENSG00000080166.16
P40222	ENSG00000084652.17
P40227	ENSG00000146731.12
P40259	ENSG00000007312.15
P40306	ENSG00000205220.13
P40429	ENSG00000142541.19
P40692	ENSG00000076242.19
P40763	ENSG00000168610.18
P40818	ENSG00000138592.16
P40925	ENSG00000014641.22
P40926	ENSG00000146701.13
P40937	ENSG00000111445.15
P40938	ENSG00000133119.14
P40939	ENSG00000084754.13
P40967	ENSG00000185664.16
P41002	ENSG00000162063.14
P41091	ENSG00000130741.12
P41212	ENSG00000139083.12
P41226	ENSG00000182179.14
P41229	ENSG00000126012.15
P41240	ENSG00000103653.18
P41250	ENSG00000106105.16
P41252	ENSG00000196305.20
P41252	ENSG00000291356.1
P41279	ENSG00000107968.11
P41743	ENSG00000163558.14
P42025	ENSG00000115073.9
P42025	ENSG00000291597.1
P42166	ENSG00000120802.16
P42167	ENSG00000120802.16
P42224	ENSG00000115415.22
P42226	ENSG00000166888.14
P42229	ENSG00000126561.19
P42285	ENSG00000039123.17
P42336	ENSG00000121879.7
P42338	ENSG00000051382.11
P42345	ENSG00000198793.15
P42356	ENSG00000241973.12
P42566	ENSG00000085832.19
P42575	ENSG00000106144.21
P42677	ENSG00000177954.15
P42684	ENSG00000143322.22
P42694	ENSG00000198265.13
P42695	ENSG00000151503.15
P42696	ENSG00000188739.16
P42701	ENSG00000096996.16
P42704	ENSG00000138095.21
P42766	ENSG00000136942.16
P42771	ENSG00000147889.18
P42785	ENSG00000137509.13
P42858	ENSG00000197386.14
P42892	ENSG00000117298.16
P43007	ENSG00000115902.12
P43034	ENSG00000007168.16
P43243	ENSG00000015479.21
P43246	ENSG00000095002.17
P43268	ENSG00000175832.14
P43304	ENSG00000115159.18
P43307	ENSG00000124783.15
P43355	ENSG00000198681.7
P43357	ENSG00000221867.10
P43357	ENSG00000292186.1
P43360	ENSG00000197172.12
P43360	ENSG00000292195.1
P43362	ENSG00000123584.7
P43362	ENSG00000267978.7
P43363	ENSG00000124260.12
P43364	ENSG00000185247.15
P43365	ENSG00000213401.11
P43365	ENSG00000292189.1
P43405	ENSG00000165025.16
P43490	ENSG00000105835.14
P43686	ENSG00000013275.9
P43686	ENSG00000281221.3
P45844	ENSG00000160179.21
P45880	ENSG00000165637.15
P45974	ENSG00000111667.15
P46013	ENSG00000148773.15
P46019	ENSG00000044446.13
P46020	ENSG00000067177.16
P46060	ENSG00000100401.22
P46063	ENSG00000004700.17
P46087	ENSG00000111641.14
P46100	ENSG00000085224.23
P46199	ENSG00000085760.16
P46379	ENSG00000204463.15
P46379	ENSG00000096155.15
P46379	ENSG00000229524.10
P46379	ENSG00000233348.10
P46379	ENSG00000227761.10
P46379	ENSG00000228760.10
P46379	ENSG00000234651.10
P46734	ENSG00000034152.21
P46736	ENSG00000185515.16
P46777	ENSG00000122406.15
P46779	ENSG00000108107.16
P46781	ENSG00000170889.15
P46781	ENSG00000278270.4
P46781	ENSG00000278081.3
P46781	ENSG00000274950.4
P46781	ENSG00000274646.4
P46781	ENSG00000277359.3
P46781	ENSG00000274626.3
P46781	ENSG00000274005.3
P46781	ENSG00000275323.3
P46781	ENSG00000277079.3
P46782	ENSG00000083845.10
P46783	ENSG00000124614.18
P46821	ENSG00000131711.15
P46939	ENSG00000152818.20
P46940	ENSG00000140575.14
P46977	ENSG00000134910.15
P47755	ENSG00000198898.17
P47756	ENSG00000077549.20
P47897	ENSG00000172053.19
P47914	ENSG00000162244.13
P47974	ENSG00000152518.9
P48047	ENSG00000241837.8
P48058	ENSG00000152578.16
P48163	ENSG00000065833.10
P48200	ENSG00000136381.14
P48378	ENSG00000087903.14
P48380	ENSG00000080298.17
P48382	ENSG00000143390.19
P48426	ENSG00000150867.15
P48444	ENSG00000095139.16
P48449	ENSG00000160285.16
P48553	ENSG00000160218.14
P48556	ENSG00000099341.13
P48595	ENSG00000242550.7
P48634	ENSG00000204469.13
P48634	ENSG00000206427.11
P48634	ENSG00000226618.9
P48634	ENSG00000231370.9
P48634	ENSG00000231825.9
P48634	ENSG00000225164.9
P48634	ENSG00000225748.9
P48637	ENSG00000100983.13
P48643	ENSG00000150753.13
P48651	ENSG00000156471.14
P48723	ENSG00000155304.7
P48730	ENSG00000141551.16
P48736	ENSG00000105851.12
P48764	ENSG00000066230.12
P48775	ENSG00000151790.10
P48775	ENSG00000262635.5
P49005	ENSG00000106628.14
P49069	ENSG00000164615.7
P49116	ENSG00000177463.17
P49247	ENSG00000153574.10
P49321	ENSG00000132780.18
P49327	ENSG00000169710.10
P49366	ENSG00000095059.18
P49368	ENSG00000163468.16
P49406	ENSG00000115364.15
P49411	ENSG00000178952.12
P49418	ENSG00000078053.18
P49450	ENSG00000115163.16
P49454	ENSG00000117724.16
P49459	ENSG00000077721.18
P49585	ENSG00000161217.13
P49588	ENSG00000090861.18
P49589	ENSG00000110619.19
P49589	ENSG00000278191.4
P49591	ENSG00000031698.14
P49642	ENSG00000198056.17
P49643	ENSG00000146143.20
P49674	ENSG00000213923.14
P49674	ENSG00000283900.1
P49682	ENSG00000186810.8
P49685	ENSG00000154165.5
P49711	ENSG00000102974.17
P49720	ENSG00000277791.6
P49720	ENSG00000275903.2
P49721	ENSG00000126067.13
P49736	ENSG00000073111.16
P49750	ENSG00000119596.19
P49754	ENSG00000006715.17
P49760	ENSG00000176444.20
P49760	ENSG00000261893.5
P49761	ENSG00000179335.21
P49770	ENSG00000119718.12
P49771	ENSG00000090554.14
P49790	ENSG00000124789.13
P49792	ENSG00000153201.18
P49796	ENSG00000138835.24
P49815	ENSG00000103197.21
P49840	ENSG00000105723.13
P49841	ENSG00000082701.18
P49915	ENSG00000163655.17
P49916	ENSG00000005156.13
P49961	ENSG00000138185.21
P50213	ENSG00000166411.15
P50395	ENSG00000057608.19
P50402	ENSG00000102119.13
P50416	ENSG00000110090.14
P50454	ENSG00000149257.17
P50502	ENSG00000100380.16
P50542	ENSG00000139197.12
P50542	ENSG00000288217.3
P50570	ENSG00000079805.20
P50579	ENSG00000111142.15
P50591	ENSG00000121858.12
P50613	ENSG00000134058.13
P50613	ENSG00000277273.5
P50748	ENSG00000184445.12
P50749	ENSG00000101265.17
P50750	ENSG00000136807.14
P50851	ENSG00000198589.16
P50897	ENSG00000131238.19
P50990	ENSG00000156261.14
P50990	ENSG00000291533.1
P50991	ENSG00000115484.16
P50995	ENSG00000122359.19
P51003	ENSG00000090060.20
P51114	ENSG00000114416.20
P51149	ENSG00000075785.15
P51157	ENSG00000157869.17
P51398	ENSG00000132676.17
P51451	ENSG00000136573.17
P51451	ENSG00000285369.3
P51452	ENSG00000108861.10
P51530	ENSG00000138346.17
P51531	ENSG00000080503.26
P51532	ENSG00000127616.23
P51553	ENSG00000067829.21
P51571	ENSG00000180879.15
P51572	ENSG00000185825.18
P51587	ENSG00000139618.19
P51610	ENSG00000172534.15
P51648	ENSG00000072210.20
P51654	ENSG00000147257.17
P51665	ENSG00000103035.12
P51684	ENSG00000112486.19
P51692	ENSG00000173757.12
P51784	ENSG00000102226.11
P51788	ENSG00000114859.17
P51790	ENSG00000109572.17
P51797	ENSG00000011021.24
P51798	ENSG00000103249.20
P51805	ENSG00000130827.7
P51812	ENSG00000177189.15
P51814	ENSG00000147124.14
P51825	ENSG00000172493.24
P51946	ENSG00000134480.18
P51955	ENSG00000117650.14
P51956	ENSG00000136098.20
P51970	ENSG00000119421.8
P52209	ENSG00000142657.22
P52272	ENSG00000099783.14
P52292	ENSG00000182481.11
P52294	ENSG00000114030.14
P52306	ENSG00000138698.16
P52333	ENSG00000105639.21
P52429	ENSG00000153933.11
P52435	ENSG00000005075.17
P52597	ENSG00000169813.18
P52630	ENSG00000170581.16
P52657	ENSG00000140307.12
P52701	ENSG00000116062.20
P52732	ENSG00000138160.8
P52735	ENSG00000160293.18
P52739	ENSG00000172262.13
P52756	ENSG00000003756.18
P52758	ENSG00000132541.12
P52788	ENSG00000102172.17
P52789	ENSG00000159399.11
P52848	ENSG00000070614.16
P52888	ENSG00000172009.16
P52907	ENSG00000116489.14
P52948	ENSG00000110713.19
P53004	ENSG00000106605.12
P53007	ENSG00000100075.11
P53350	ENSG00000166851.16
P53355	ENSG00000196730.14
P53396	ENSG00000131473.18
P53582	ENSG00000164024.13
P53597	ENSG00000163541.13
P53602	ENSG00000167508.13
P53611	ENSG00000137955.17
P53618	ENSG00000129083.14
P53621	ENSG00000122218.18
P53634	ENSG00000109861.18
P53667	ENSG00000106683.16
P53675	ENSG00000070371.17
P53677	ENSG00000070718.14
P53680	ENSG00000042753.13
P53701	ENSG00000004961.16
P53778	ENSG00000188130.15
P53804	ENSG00000182670.14
P53814	ENSG00000183963.20
P53990	ENSG00000182149.22
P53992	ENSG00000176986.17
P53999	ENSG00000113387.14
P54098	ENSG00000140521.18
P54132	ENSG00000197299.14
P54136	ENSG00000113643.10
P54274	ENSG00000147601.16
P54277	ENSG00000064933.20
P54278	ENSG00000122512.18
P54368	ENSG00000104904.13
P54577	ENSG00000134684.14
P54578	ENSG00000101557.16
P54687	ENSG00000060982.16
P54709	ENSG00000069849.12
P54725	ENSG00000179262.11
P54727	ENSG00000119318.14
P54802	ENSG00000108784.11
P54819	ENSG00000004455.19
P54886	ENSG00000059573.10
P54920	ENSG00000105402.8
P55010	ENSG00000100664.11
P55017	ENSG00000070915.11
P55036	ENSG00000159352.17
P55060	ENSG00000124207.18
P55061	ENSG00000139644.14
P55072	ENSG00000165280.19
P55081	ENSG00000140259.8
P55084	ENSG00000138029.15
P55160	ENSG00000123338.14
P55196	ENSG00000130396.23
P55199	ENSG00000105656.14
P55201	ENSG00000156983.18
P55209	ENSG00000187109.16
P55212	ENSG00000138794.10
P55263	ENSG00000156110.16
P55265	ENSG00000160710.20
P55268	ENSG00000172037.15
P55347	ENSG00000160199.16
P55735	ENSG00000157020.19
P55769	ENSG00000100138.15
P55786	ENSG00000141279.19
P55795	ENSG00000126945.10
P55809	ENSG00000083720.14
P55884	ENSG00000106263.20
P56182	ENSG00000160214.14
P56192	ENSG00000166986.16
P56270	ENSG00000103495.15
P56282	ENSG00000100479.15
P56373	ENSG00000109991.11
P56377	ENSG00000182287.16
P56537	ENSG00000242372.10
P56556	ENSG00000184983.12
P56556	ENSG00000272765.2
P56556	ENSG00000277365.3
P56556	ENSG00000281013.5
P56556	ENSG00000273397.4
P56589	ENSG00000034693.16
P56817	ENSG00000186318.19
P57059	ENSG00000142178.10
P57081	ENSG00000160193.13
P57086	ENSG00000171222.12
P57088	ENSG00000109133.15
P57678	ENSG00000179409.11
P57737	ENSG00000262246.7
P57737	ENSG00000103426.12
P57737	ENSG00000282725.1
P57737	ENSG00000278760.4
P57740	ENSG00000111581.11
P57764	ENSG00000104518.12
P57764	ENSG00000278718.3
P58004	ENSG00000130766.6
P58004	ENSG00000285069.2
P58107	ENSG00000261150.3
P58340	ENSG00000178053.21
P59998	ENSG00000250151.9
P59998	ENSG00000241553.14
P60174	ENSG00000111669.16
P60228	ENSG00000104408.12
P60510	ENSG00000149923.15
P60520	ENSG00000034713.8
P60660	ENSG00000092841.20
P60709	ENSG00000075624.18
P60842	ENSG00000161960.17
P60900	ENSG00000100902.12
P60903	ENSG00000197747.10
P60953	ENSG00000070831.19
